=== WELL-BALANCED TEAMS ===
Team,ID,Name,Email,Game,Role,Skill,PersonalityType
WB-Team 1,P010,Participant_10,user10@university.edu,Valorant,Coordinator,5,Leader
WB-Team 1,P015,Participant_15,user15@university.edu,DOTA 2,Coordinator,8,Thinker
WB-Team 1,P036,Participant_36,user36@university.edu,Chess,Strategist,9,Thinker
WB-Team 1,P017,Participant_17,user17@university.edu,CS:GO,Attacker,10,Balanced
WB-Team 1,P098,Participant_98,user98@university.edu,CS:GO,Defender,5,Balanced
WB-Team 1,P020,Participant_20,user20@university.edu,Valorant,Coordinator,3,Balanced
WB-Team 1,P047,Participant_47,user47@university.edu,DOTA 2,Attacker,10,Balanced
WB-Team 1,P056,Participant_56,user56@university.edu,Basketball,Strategist,4,Balanced
WB-Team 1,P074,Participant_74,user74@university.edu,FIFA,Supporter,3,Balanced
WB-Team 1,P002,Participant_2,user2@university.edu,FIFA,Attacker,5,Balanced
WB-Team 2,P064,Participant_64,user64@university.edu,CS:GO,Supporter,6,Leader
WB-Team 2,P063,Participant_63,user63@university.edu,Chess,Defender,8,Thinker
WB-Team 2,P078,Participant_78,user78@university.edu,FIFA,Defender,6,Thinker
WB-Team 2,P032,Participant_32,user32@university.edu,DOTA 2,Attacker,2,Balanced
WB-Team 2,P014,Participant_14,user14@university.edu,FIFA,Supporter,3,Balanced
WB-Team 2,P065,Participant_65,user65@university.edu,DOTA 2,Coordinator,7,Balanced
WB-Team 2,P023,Participant_23,user23@university.edu,CS:GO,Defender,3,Balanced
WB-Team 2,P080,Participant_80,user80@university.edu,Basketball,Coordinator,1,Balanced
WB-Team 2,P038,Participant_38,user38@university.edu,Valorant,Defender,1,Balanced
WB-Team 2,P092,Participant_92,user92@university.edu,Basketball,Attacker,7,Balanced
WB-Team 3,P016,Participant_16,user16@university.edu,CS:GO,Strategist,6,Leader
WB-Team 3,P066,Participant_66,user66@university.edu,Chess,Strategist,1,Thinker
WB-Team 3,P012,Participant_12,user12@university.edu,DOTA 2,Attacker,3,Thinker
WB-Team 3,P068,Participant_68,user68@university.edu,Chess,Defender,1,Balanced
WB-Team 3,P044,Participant_44,user44@university.edu,FIFA,Supporter,6,Balanced
WB-Team 3,P041,Participant_41,user41@university.edu,Basketball,Strategist,5,Balanced
WB-Team 3,P029,Participant_29,user29@university.edu,Basketball,Supporter,5,Balanced
WB-Team 3,P077,Participant_77,user77@university.edu,FIFA,Attacker,2,Balanced
WB-Team 3,P095,Participant_95,user95@university.edu,CS:GO,Coordinator,2,Balanced
WB-Team 3,P059,Participant_59,user59@university.edu,DOTA 2,Supporter,4,Balanced
WB-Team 4,P097,Participant_97,user97@university.edu,FIFA,Attacker,3,Leader
WB-Team 4,P024,Participant_24,user24@university.edu,DOTA 2,Supporter,7,Thinker
WB-Team 4,P009,Participant_9,user9@university.edu,CS:GO,Supporter,6,Thinker
WB-Team 4,P086,Participant_86,user86@university.edu,FIFA,Strategist,9,Balanced
WB-Team 4,P053,Participant_53,user53@university.edu,DOTA 2,Defender,7,Balanced
WB-Team 4,P005,Participant_5,user5@university.edu,CS:GO,Coordinator,9,Balanced
WB-Team 4,P071,Participant_71,user71@university.edu,Chess,Strategist,8,Balanced
